,device,workload,metric,predictor,r2,max_error,mae,mape,medae,dataset_min,dataset_max,dataset_mean,dataset_median,dataset_size
cuda_980ti-avg_pool2d-memory-ert:750,cuda_980ti,avg_pool2d,memory,ert,0.9043616776578279,3.50489013671875,0.17843416679146698,0.24540615793169307,0.09879673549107149,0.09747314453125,3.96026611328125,1.0405916341145833,0.51092529296875,750
cuda_980ti-avg_pool2d-memory-ert:1125,cuda_980ti,avg_pool2d,memory,ert,0.9346783166576225,4.2058318219866075,0.13813337499286854,0.174076346815796,0.06440290178571428,0.09747314453125,4.75677490234375,1.0314498155381944,0.51092529296875,1125
cuda_980ti-avg_pool2d-memory-ert:1500,cuda_980ti,avg_pool2d,memory,ert,0.9444733033268204,4.145552804129465,0.12660790800195879,0.15468690706083985,0.05672712053571427,0.09747314453125,4.75677490234375,1.0116953938802082,0.51092529296875,1500
cuda_980ti-avg_pool2d-memory-ert:1875,cuda_980ti,avg_pool2d,memory,ert,0.9494700087043756,4.204048200334822,0.11635082157238893,0.13719193128985288,0.04958635602678574,0.09747314453125,4.75677490234375,1.0005601236979167,0.51092529296875,1875
cuda_980ti-avg_pool2d-memory-ert:2250,cuda_980ti,avg_pool2d,memory,ert,0.9550817587650374,4.233104422433036,0.11117368906178687,0.1259525983957395,0.042730189732142876,0.09747314453125,4.75677490234375,0.9872950846354167,0.51092529296875,2250
cuda_980ti-avg_pool2d-memory-ert:2625,cuda_980ti,avg_pool2d,memory,ert,0.9585438374697283,3.9977242606026784,0.10598082428233874,0.11732482678724043,0.04108398437499999,0.09747314453125,4.75677490234375,0.9777151925223214,0.51092529296875,2625
cuda_980ti-avg_pool2d-memory-ert:3000,cuda_980ti,avg_pool2d,memory,ert,0.9621481314262675,4.046947893415179,0.10130677968821314,0.11155473834173142,0.0435219029017857,0.09747314453125,4.75677490234375,0.98428369140625,0.51092529296875,3000
cuda_980ti-avg_pool2d-memory-ert:3375,cuda_980ti,avg_pool2d,memory,ert,0.9635740372328444,4.070035226004464,0.09631031272582916,0.10645565079882363,0.03730538504464276,0.09747314453125,4.75677490234375,0.9772494755497685,0.51092529296875,3375
cuda_980ti-avg_pool2d-memory-ert:3750,cuda_980ti,avg_pool2d,memory,ert,0.9693423934159753,4.114633440290179,0.08886794224478929,0.09924034487491881,0.03632045200892858,0.09747314453125,4.75677490234375,0.9811729817708333,0.51092529296875,3750
cuda_980ti-avg_pool2d-time-dTr:375,cuda_980ti,avg_pool2d,time,dTr,0.36771580932670134,23.900100000000002,1.8806386174653889,1.1759603718600073,0.6982299999999999,0.00779846,23.900100000000002,3.610423895413333,1.471,375
cuda_980ti-avg_pool2d-time-dTr:750,cuda_980ti,avg_pool2d,time,dTr,0.3758720013126682,23.900100000000002,1.7662094396059638,0.9372122659274391,0.6666699999999998,0.007390109999999999,24.2825,3.453831190533333,1.471,750
cuda_980ti-avg_pool2d-time-dTr:1125,cuda_980ti,avg_pool2d,time,dTr,0.5197056795878356,25.921400000000002,1.585482082630458,0.6850902304439461,0.5634929999999999,0.007390109999999999,25.921400000000002,3.46267082928,1.471,1125
cuda_980ti-avg_pool2d-time-dTr:1500,cuda_980ti,avg_pool2d,time,dTr,0.5361930739890381,23.900100000000002,1.5023933010010648,0.6312620209544391,0.5019060000000001,0.0073323799999999995,25.921400000000002,3.39308625546,1.471,1500
cuda_980ti-avg_pool2d-time-dTr:1875,cuda_980ti,avg_pool2d,time,dTr,0.6653296483904882,23.900100000000002,1.2898082640894568,0.5725133253229869,0.465156,0.0069828600000000005,25.921400000000002,3.378210431989333,1.471,1875
cuda_980ti-avg_pool2d-time-dTr:2250,cuda_980ti,avg_pool2d,time,dTr,0.5965512870178873,23.900100000000002,1.3929015551863684,0.5437126762372111,0.4433500000000006,0.0069828600000000005,25.921400000000002,3.3567719933688887,1.471,2250
cuda_980ti-avg_pool2d-time-dTr:2625,cuda_980ti,avg_pool2d,time,dTr,0.6415083494544203,25.921400000000002,1.2316062186794463,0.5010501193717503,0.3947000000000003,0.0069828600000000005,25.921400000000002,3.328920594266667,1.471,2625
cuda_980ti-avg_pool2d-time-dTr:3000,cuda_980ti,avg_pool2d,time,dTr,0.6562886252829438,25.921400000000002,1.2336295899467518,0.5286975293437871,0.404671,0.0069828600000000005,25.921400000000002,3.3638685189966666,1.471,3000
cuda_980ti-avg_pool2d-time-dTr:3375,cuda_980ti,avg_pool2d,time,dTr,0.6822137011741305,22.3114,1.1176186297870072,0.48735253260465483,0.35975199999999996,0.0069828600000000005,25.921400000000002,3.3285193566192595,1.471,3375
cuda_980ti-avg_pool2d-time-dTr:3750,cuda_980ti,avg_pool2d,time,dTr,0.717283825368686,25.921400000000002,1.142372676400426,0.5043943484362168,0.35975999999999997,0.0069828600000000005,25.921400000000002,3.344983585341333,1.471,3750
cuda_980ti-avg_pool2d-power-dTr:375,cuda_980ti,avg_pool2d,power,dTr,0.7312222334992928,201.978,5.963283812566559,0.037970914126007976,3.48599999999999,99.784,201.978,160.895792,152.5795,375
cuda_980ti-avg_pool2d-power-dTr:750,cuda_980ti,avg_pool2d,power,dTr,0.803456508681195,204.491,5.213085197018104,0.03296970956524763,2.9865000000000066,65.936,204.491,160.534506,152.5795,750
cuda_980ti-avg_pool2d-power-dTr:1125,cuda_980ti,avg_pool2d,power,dTr,0.7809462877173712,206.736,4.821835463258786,0.03105476936481516,2.437999999999988,65.936,206.736,161.50552577777776,152.5795,1125
cuda_980ti-avg_pool2d-power-dTr:1500,cuda_980ti,avg_pool2d,power,dTr,0.83914418453282,205.319,4.419004792332269,0.028336263093211595,2.429000000000002,65.936,207.30149999999998,161.06341066666664,152.5795,1500
cuda_980ti-avg_pool2d-power-dTr:1875,cuda_980ti,avg_pool2d,power,dTr,0.8300047841994318,205.319,4.304866879659212,0.027534741231843587,2.2680000000000007,65.936,207.30149999999998,160.91724773333334,152.5795,1875
cuda_980ti-avg_pool2d-power-dTr:2250,cuda_980ti,avg_pool2d,power,dTr,0.8330535583158584,205.319,4.156597444089457,0.0268849242841016,2.1970000000000027,65.936,207.30149999999998,160.89324577777776,152.5795,2250
cuda_980ti-avg_pool2d-power-dTr:2625,cuda_980ti,avg_pool2d,power,dTr,0.8521135255990913,205.319,4.048908945686901,0.026104879986633453,2.179000000000002,65.936,207.30149999999998,160.95687352380952,152.5795,2625
cuda_980ti-avg_pool2d-power-dTr:3000,cuda_980ti,avg_pool2d,power,dTr,0.8547036221960504,205.319,3.795007987220448,0.024516217401390802,1.8585000000000207,65.936,207.30149999999998,160.92137233333332,152.5795,3000
cuda_980ti-avg_pool2d-power-dTr:3375,cuda_980ti,avg_pool2d,power,dTr,0.8385904795397362,205.319,4.025110756123535,0.02575577294663326,1.8089999999999975,65.936,207.30149999999998,160.71273777777776,152.5795,3375
cuda_980ti-avg_pool2d-power-dTr:3750,cuda_980ti,avg_pool2d,power,dTr,0.858053615622011,206.60199999999998,3.7482055378061765,0.023849279803754925,1.8029999999999973,65.936,207.30149999999998,160.80174746666665,152.5795,3750
cuda_980ti-avg_pool2d-memory-dTr:375,cuda_980ti,avg_pool2d,memory,dTr,0.37314907400180264,3.85589599609375,0.43759633024660544,0.5825980950637506,0.1590576171875,0.09747314453125,3.95184326171875,1.1026612955729167,0.51092529296875,375
cuda_980ti-avg_pool2d-memory-dTr:750,cuda_980ti,avg_pool2d,memory,dTr,0.6312575530845497,3.93194580078125,0.33889331756689295,0.40737419294030713,0.125732421875,0.09747314453125,3.96026611328125,1.0405916341145833,0.51092529296875,750
